"Comparison","Taxa","mean.group1.","variance.group1.","std.err.group1.","mean.group2.","variance.group2.","std.err.group2.","pvalue","qvalue","Significance","Group"
"non-infecte - acanthocephale","k__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__Woesearchaeales|f__Woesearchaeales",9.34734027781209e-05,1.83073221155891e-07,6.94097712588629e-05,0,0,0,0.011988011988012,0.0372848649287725,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae",0.000913505498240407,1.28702864228588e-05,0.000581972291410826,0,0,0,0.011988011988012,0.0372848649287725,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256",5.72476361035162e-05,7.51867808891948e-08,4.44814511575789e-05,0,0,0,0.012987012987013,0.039441538488378,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Acidobacteriota|c__Subgroup_22|o__Subgroup_22|f__Subgroup_22",2.34407059944465e-05,8.96129823491052e-09,1.53565503209804e-05,0,0,0,0.012987012987013,0.039441538488378,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodobiaceae",2.3005396036554e-05,6.62530096898293e-09,1.32041669748436e-05,0,0,0,0.013986013986014,0.0419816017899551,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae",0.00148658531048908,7.46472154939589e-06,0.000443215569191309,8.1209113467178e-05,8.57339614316249e-08,8.1209113467178e-05,0.014985014985015,0.0439580083677289,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae",5.52137936615497e-05,4.20786975288522e-08,3.32766306211448e-05,0,0,0,0.014985014985015,0.0439580083677289,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Myxococcota|c__Polyangia|o__Blfdi19|f__Blfdi19",0.000143532470766409,5.77447131873317e-07,0.000123271964187162,0,0,0,0.015984015984016,0.04636170470544,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Firmicutes|c__Bacilli|o__Exiguobacterales|f__Exiguobacteraceae",0.000103237444855261,1.24006464262643e-07,5.71255460097464e-05,0,0,0,0.016983016983017,0.047677807340039,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Schleiferiaceae",1.31732015337063e-05,2.62121616694159e-09,8.30538215943447e-06,0,0,0,0.016983016983017,0.047677807340039,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae",4.36421879053913e-05,2.40096875599542e-08,2.51363060762056e-05,0,0,0,0.0169918475829846,0.047677807340039,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Verrucomicrobiota|c__Omnitrophia|o__Omnitrophales|f__koll11",1.45116753230322e-06,8.00237138588182e-11,1.45116753230322e-06,0,0,0,0.0173236695604051,0.0480861980248492,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae",0,0,0,1.36364256201165e-05,2.41737734800859e-09,1.36364256201165e-05,0.0185931084642098,0.0499970370453449,"*","acanthocephale"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Dongiales|f__Dongiaceae",0,0,0,2.3812982361724e-06,7.3717556764771e-11,2.3812982361724e-06,0.0185931084642098,0.0499970370453449,"*","acanthocephale"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodomicrobiaceae",0,0,0,2.3812982361724e-06,7.3717556764771e-11,2.3812982361724e-06,0.0185931084642098,0.0499970370453449,"*","acanthocephale"
"non-infecte - acanthocephale","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae",2.87601020530966e-05,2.15686631621985e-08,2.38242817101634e-05,0,0,0,0.018981018981019,0.0505139450108885,"ns","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae",0.00180564646799145,1.53927377579731e-05,0.000636452705440435,0.000173910721225203,2.93617580848984e-07,0.000150286285993148,0.021978021978022,0.0578929960543695,"ns","non-infecte"
"non-infecte - acanthocephale","k__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae",0.00235476048020125,2.07040896689873e-05,0.000738135803882559,0.000236936244271627,4.7585113778615e-07,0.000191321545247412,0.025974025974026,0.0676014419946433,"ns","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Abditibacteriota|c__Abditibacteria|o__Abditibacteriales|f__Abditibacteriaceae",1.26977159076531e-06,6.12681559231577e-11,1.26977159076531e-06,0,0,0,0.0262104781360391,0.0676014419946433,"ns","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Latescibacterota|c__Latescibacteria|o__Latescibacterales|f__Latescibacteraceae",1.31512057614979e-06,6.57226009328771e-11,1.31512057614979e-06,0,0,0,0.0266605830995082,0.0676014419946433,"ns","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae",0.0237842929078452,0.000295592810274164,0.00278904251762313,0.0140041306197187,0.000110691419596477,0.00291800010012755,0.026973026973027,0.0676014419946433,"ns","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae",0.00516844493309632,6.26187894328578e-05,0.00128369111542148,0.00136881911508394,5.24895794525106e-06,0.000635425838149932,0.026973026973027,0.0676014419946433,"ns","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__SAR11_clade|f__Clade_I",1.8373954062665e-05,1.28288831400831e-08,1.8373954062665e-05,0,0,0,0.0279374226486568,0.0693452146268256,"ns","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Arenicellales|f__Arenicellaceae",0.000466874187746391,1.17666569611648e-06,0.000175968425406115,2.02410350074654e-05,5.3260934762547e-09,2.02410350074654e-05,0.02997002997003,0.0736819949782885,"ns","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae",0.00082429772648085,9.84782684161164e-06,0.000509071053917966,3.0454918955238e-05,6.61056930914033e-09,2.25500627820042e-05,0.035964035964036,0.0875842581817392,"ns","non-infecte"
